unix_ms,frame,world_pos_x,world_pos_y,world_pos_z,center_screen_pos_x,center_screen_pos_y,center_screen_pos_z,left_screen_pos_x,left_screen_pos_y,left_screen_pos_z,right_screen_pos_x,right_screen_pos_y,right_screen_pos_z
1765412131970,14696,0,1.25,0.5,4191.124,71.31963,0.2357387,2605.222,71.31973,0.2357387,2496.75,71.31999,0.2357386
1765412131984,14697,0,1.25,0.5,4194.473,72.20397,0.2355354,2606.98,72.20397,0.2355354,2498.413,72.20439,0.2355354
1765412131998,14698,0,1.25,0.5,4196.647,72.34496,0.2353995,2608.121,72.34506,0.2353995,2499.491,72.34506,0.2353995
1765412132012,14699,0,1.25,0.5,4199.039,73.20235,0.2352575,2609.375,73.20245,0.2352576,2500.68,73.20235,0.2352575
1765412132026,14700,0,1.25,0.5,4201.761,73.84477,0.2350856,2610.804,73.84415,0.2350855,2502.03,73.84477,0.2350856
1765412132040,14701,0,1.25,0.5,4207.15,72.73421,0.2347223,2613.64,72.7341,0.2347223,2504.697,72.73437,0.2347224
1765412132054,14702,0,1.25,0.5,4209.229,72.69115,0.2345856,2614.733,72.69157,0.2345856,2505.727,72.69167,0.2345857
1765412132068,14703,0,1.25,0.5,4214.665,71.886,0.2342277,2617.592,71.8859,0.2342277,2508.419,71.88638,0.2342277
1765412132081,14704,0,1.25,0.5,4216.524,72.06481,0.2341151,2618.568,72.06471,0.2341152,2509.342,72.06528,0.2341152
1765412132095,14705,0,1.25,0.5,4214.888,73.54748,0.2342477,2617.701,73.54748,0.2342477,2508.537,73.54764,0.2342477
1765412132109,14706,0,1.25,0.5,4210.364,75.79279,0.2345687,2615.316,75.79321,0.2345687,2506.302,75.79279,0.2345687
1765412132123,14707,0,1.25,0.5,4210.618,76.83995,0.2345642,2615.447,76.84047,0.2345642,2506.431,76.84,0.2345642
1765412132137,14708,0,1.25,0.5,4211.684,76.3586,0.2344895,2616.008,76.35823,0.2344895,2506.958,76.35823,0.2344895
1765412132151,14709,0,1.25,0.5,4212.744,75.83643,0.2344171,2616.569,75.83591,0.2344169,2507.483,75.83612,0.2344169
1765412132165,14710,0,1.25,0.5,4215.281,74.79788,0.2342463,2617.902,74.79825,0.2342463,2508.738,74.79788,0.2342463
1765412132179,14711,0,1.25,0.5,4216.246,74.1019,0.2341834,2618.409,74.1019,0.2341834,2509.216,74.10184,0.2341834
1765412132193,14712,0,1.25,0.5,4217.737,72.42542,0.234077,2619.194,72.42637,0.2340772,2509.951,72.42637,0.2340773
1765412132207,14713,0,1.25,0.5,4216.841,72.31947,0.2341454,2618.722,72.31937,0.2341454,2509.511,72.31947,0.2341454
1765412132221,14714,0,1.25,0.5,4220.539,70.76872,0.2339036,2620.666,70.76878,0.2339036,2511.342,70.76872,0.2339036
1765412132234,14715,0,1.25,0.5,4221.315,69.7939,0.2338557,2621.074,69.79437,0.2338557,2511.728,69.79437,0.2338557
1765412132248,14716,0,1.25,0.5,4221.696,69.1469,0.2338391,2621.272,69.14643,0.2338391,2511.918,69.14654,0.2338391
1765412132262,14717,0,1.25,0.5,4226.892,66.75399,0.2334966,2624.006,66.75399,0.2334966,2514.491,66.75388,0.2334966
1765412132276,14718,0,1.25,0.5,4231.269,65.33012,0.2332194,2626.305,65.33023,0.2332194,2516.661,65.33012,0.2332194
1765412132290,14719,0,1.25,0.5,4232.352,64.15137,0.2331503,2626.875,64.15084,0.2331502,2517.198,64.15137,0.2331503
1765412132304,14720,0,1.25,0.5,4237.047,62.64946,0.2328537,2629.342,62.64925,0.2328536,2519.525,62.64946,0.2328537
1765412132318,14721,0,1.25,0.5,857.5483,550.1408,0.5521867,872.1143,550.141,0.5521867,825.8051,550.1409,0.5521867
1765412132332,14722,0,1.25,0.5,857.8171,549.912,0.5521389,872.2534,549.912,0.5521389,825.9403,549.9122,0.5521389
1765412132345,14723,0,1.25,0.5,858.2341,549.7711,0.5521022,872.468,549.7711,0.5521021,826.1517,549.7709,0.5521021
1765412132360,14724,0,1.25,0.5,858.4994,549.5071,0.5520326,872.6063,549.5073,0.5520326,826.2842,549.5073,0.5520326
1765412132374,14725,0,1.25,0.5,858.9002,549.2562,0.5519536,872.8142,549.2565,0.5519536,826.4855,549.2565,0.5519536
1765412132387,14726,0,1.25,0.5,859.0964,549.3408,0.5520424,872.9107,549.3406,0.5520424,826.5895,549.3408,0.5520424
1765412132401,14727,0,1.25,0.5,859.3222,549.5152,0.5521584,873.0211,549.5153,0.5521584,826.7096,549.5154,0.5521585
1765412132415,14728,0,1.25,0.5,859.6078,549.6876,0.552221,873.1643,549.6876,0.552221,826.858,549.6877,0.552221
1765412132429,14729,0,1.25,0.5,859.9754,549.7927,0.5522243,873.3518,549.7927,0.5522243,827.0458,549.7929,0.5522243
1765412132443,14730,0,1.25,0.5,860.1,549.7382,0.5521907,873.4169,549.738,0.5521907,827.1081,549.7382,0.5521907
1765412132457,14731,0,1.25,0.5,860.353,549.6972,0.5521603,873.5473,549.6973,0.5521603,827.236,549.6973,0.5521603
